op_unique_carrier,DELAYED
AS,0.25463118895250925
OH,0.24359348306179424
G4,0.22576014615685763
MQ,0.22425249169435216
YV,0.19916442511303153
OO,0.18609804175479489
AA,0.1845320118719525
B6,0.18394866171154706
F9,0.18307342430149448
EV,0.17521202775636083
NK,0.16950325967807073
UA,0.16124867240050814
WN,0.14154008987261857
YX,0.14146950669534447
DL,0.13616004403963566
9E,0.1348290132868656
HA,0.11603706343549537
OP_UNIQUE_CARRIER,0.0
